iter	Passed	Remaining
0	1	144
1	3	154
2	4	139
3	6	156
4	7	149
5	8	139
6	9	131
7	10	124
8	11	120
9	12	116
10	13	111
11	14	108
12	15	105
13	16	102
14	17	100
15	18	98
16	21	103
17	22	103
18	24	102
19	25	102
20	26	99
21	27	96
22	27	93
23	28	91
24	29	88
25	30	86
26	31	84
27	32	82
28	32	80
29	33	78
30	34	77
31	36	76
32	37	75
33	37	73
34	38	71
35	39	69
36	40	68
37	40	66
38	41	65
39	42	63
40	43	62
41	43	60
42	44	58
43	45	57
44	45	56
45	46	55
46	47	53
47	48	52
48	51	53
49	52	52
50	52	50
51	54	50
52	55	49
53	56	47
54	57	46
55	57	45
56	58	44
57	59	43
58	60	42
59	62	41
60	63	40
61	64	39
62	66	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	83	17
83	85	16
84	85	15
85	86	14
86	87	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	93	7
93	94	6
94	95	5
95	96	4
96	98	3
97	100	2
98	101	1
99	103	0
